ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
3907,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,203377,185056,*,*,7609,12000,7000,6000,0
7670,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,38551,42901,*,*,7000,10000,5000,5000,0
12249,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,118270,124742,*,*,3884,3376,7503,3591,0
12568,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,97725,76466,*,*,116567,50156,10383,316,0
12673,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,74870,-2313,*,*,52000,74896,500,110124,0
14180,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,87500,89731,*,*,823,80000,3684,4500,1
14788,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,63609,123128,*,*,5841,6000,100000,5000,0
17846,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,51104,50536,*,*,3965,3508,3011,3033,0
17993,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,223882,130672,*,*,7015,6422,6086,4000,0
20202,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,117102,116718,*,*,9953,4014,3307,4100,0
20405,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,143375,146411,*,*,157436,4600,4709,5600,0
21701,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,19380,100000,*,*,98080,79380,100000,50254,0
21967,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,132697,135561,*,*,10000,5000,4100,4000,0
22172,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,164914,145052,*,*,8350,5005,5000,6800,0
23227,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,239280,238926,*,*,50000,4786,4779,4876,0
24368,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,258800,96900,*,*,132846,130400,193800,45313,0
25568,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,106591,85215,*,*,6506,5178,3031,3466,0
25576,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,152084,149887,*,*,6480,4026,4153,3014,0
25876,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,69180,44376,*,*,70175,69180,44376,37638,0
27706,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,40638,11104,*,*,3519,1180,0,0,0
1906,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,218706,165666,*,*,7190,6283,5208,4177,0
5688,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,82160,110773,*,*,15000,3044,30042,34048,0
18481,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,6407,15791,*,*,9004,6000,15000,6000,0
22462,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,0,0,*,*,3749,0,0,0,1
25584,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,169078,167940,*,*,7900,6000,6000,7000,0
27423,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,120077,92593,*,*,6000,7125,5000,4500,0
23092,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,189101,182062,*,*,8000,7000,7000,6500,0
26922,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,135217,85300,*,*,6000,5237,3000,8961,1
22765,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,480722,460068,*,*,19445,17348,16536,16845,0
26228,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,454845,456596,*,*,17221,15300,16000,18000,0
10961,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,481896,513798,*,*,20008,14000,35804,250005,0
11558,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,397682,399659,*,*,17134,400046,17003,4436,0
14554,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,462666,472480,*,*,25135,432130,17000,20000,1
19749,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,364175,376228,*,*,13005,15410,72000,14500,0
23894,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,451040,431316,*,*,16011,16000,15500,17002,0
26245,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,265742,248866,*,*,10143,7519,8866,7154,0
7,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,483003,473944,*,*,38000,20239,13750,13770,0
41,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,195969,179224,*,*,6000,188840,28000,4000,0
60,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,356656,364089,*,*,30000,12000,12000,23000,0
432,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,292885,281826,*,*,10041,11000,10512,7000,1
845,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,369532,367399,*,*,20000,19586,14122,12022,0
870,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,315820,305498,*,*,11016,11088,12031,12031,0
912,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,253443,253671,*,*,10000,79377,52778,10000,0
966,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,274632,266669,*,*,20020,10017,15024,10002,0
1185,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,324749,327929,*,*,11127,11017,11110,11113,0
1348,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,334558,341439,*,*,12000,13000,13022,13016,0
1827,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,258010,221780,*,*,12406,9279,6078,0,1
1833,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,377858,362132,*,*,15000,15000,15000,20000,0
1936,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,392879,398478,*,*,13810,14100,14520,15000,0
2031,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,204593,211655,*,*,20000,10000,10000,10000,0
2062,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,325758,319898,*,*,11721,12000,13000,11728,0
2212,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,484993,496915,*,*,20000,20000,20000,70152,0
2223,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,297541,256158,*,*,12854,11191,10029,10000,0
2456,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,347753,356161,*,*,13000,15000,15025,7002,0
3038,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,295664,290329,*,*,11000,11000,12000,9300,0
3049,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,289379,295768,*,*,12008,11000,11000,11000,0
3364,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,398229,409615,*,*,14000,14500,18007,12733,1
3520,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,344808,347188,*,*,20000,12000,12000,13000,0
3567,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,296004,279768,*,*,15203,12013,12013,10135,0
3667,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,260026,178599,*,*,15052,10507,25001,25082,0
3768,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,284834,284549,*,*,15000,12000,12500,11000,0
3787,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,328627,329948,*,*,11643,11868,18000,15000,0
4469,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,305275,303402,*,*,11000,11000,11100,13500,0
4519,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,300646,306652,*,*,10536,10879,10971,11326,0
4550,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,248238,210267,*,*,68410,7767,6308,5437,0
4585,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,270350,260554,*,*,10002,9948,9475,9239,0
4644,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,298343,308378,*,*,15000,15000,15000,15200,0
5307,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,168418,167635,*,*,11035,7029,8035,10388,0
5334,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,500723,511905,*,*,20000,20000,20056,16987,0
5418,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,304151,299959,*,*,11000,11100,11000,16000,0
5626,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,346676,352736,*,*,11962,11763,12557,12496,0
5758,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,306830,303453,*,*,11500,10500,11000,10152,0
5876,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,318320,325028,*,*,10365,10750,11150,11271,1
6060,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,352835,354265,*,*,12947,13016,12823,12915,0
6267,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,297637,301575,*,*,11900,10503,10886,10040,0
7177,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,317349,314212,*,*,12000,12000,12000,12000,0
7282,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,84615,267596,*,*,13091,5066,195829,20225,0
7396,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,345532,339050,*,*,35000,30000,20019,40000,0
7770,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,243198,243498,*,*,9000,10000,8600,8500,0
8045,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,327945,289814,*,*,20019,20000,9934,9330,0
8663,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,276902,221866,*,*,11098,11200,12000,131400,0
8682,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,429235,391559,*,*,17000,16300,14108,16000,0
8881,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,329604,322581,*,*,12004,12008,11503,12019,0
9112,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,321825,328781,*,*,20000,12000,12500,12200,0
9129,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,278745,244543,*,*,10000,8091,6965,6362,0
9324,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,239874,226502,*,*,231888,7945,7840,6966,1
9684,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,287809,293176,*,*,10042,11005,11069,9006,0
10158,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,359770,351535,*,*,12445,13183,12874,12146,1
10190,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,316208,304388,*,*,15000,9494,108914,18200,0
10492,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,422671,394599,*,*,15200,19000,16000,10000,0
10497,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,420016,426622,*,*,14088,14500,14700,14671,0
10503,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,306269,273732,*,*,10400,12000,12000,9000,1
10675,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,302793,307336,*,*,10600,11500,10000,65000,0
10896,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,329476,338557,*,*,26454,8510,11039,5390,1
10934,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,267622,261246,*,*,9902,10000,10000,17629,0
11824,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,264644,247298,*,*,10000,9072,8945,8567,0
12442,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,301231,325831,*,*,15000,11000,30000,20004,0
12615,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,290182,292602,*,*,11100,11005,11102,9060,0
12752,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,274743,250930,*,*,10393,10580,120081,10996,0
13099,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,324478,313547,*,*,324097,12039,12006,12272,0
13443,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,402432,409912,*,*,14144,17100,17500,3600,0
13726,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,287816,294383,*,*,10026,10500,11080,10500,0
13733,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,288459,293233,*,*,282562,11000,9572,8928,0
13881,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,318647,325369,*,*,11354,11545,12000,11000,1
14445,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,396687,404885,*,*,14500,14000,15021,10664,0
14838,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,279250,239172,*,*,15000,8995,9457,10000,0
15015,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,268891,262570,*,*,30000,12000,10000,9040,0
15067,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,338552,345971,*,*,13000,12000,13000,12013,0
15150,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,285291,287510,*,*,10000,10000,11000,11000,0
15224,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,396600,392879,*,*,17500,13810,14100,14520,1
15331,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,174797,180313,*,*,6213,12840,8500,8205,0
15376,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,295756,302149,*,*,10370,11000,11000,13000,0
15529,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,265201,271381,*,*,11010,15000,10004,11004,0
15568,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,291642,286666,*,*,10000,30000,12000,10000,0
16052,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,440050,438953,*,*,20000,20000,20000,20000,0
16232,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,285319,209218,*,*,13013,11209,9010,162510,1
16368,*,*,*,1,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,322148,309689,*,*,12270,11031,10207,10910,1
16530,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,243169,133977,*,*,10100,10000,10000,15000,0
16899,*,*,*,2,[21;40],{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},{-2;-1;0},>=100000,*,*,*,228568,232668,*,*,16005,9005,9013,8010,0
